DOI,title,year,journal,openalex_id,landing_url,oa_url,oa_status,fulltext_url,fulltext_found,candidate_score,status,LOI_numeric_evidence,TG_numeric_evidence,table_candidates,abstract_excerpt,supplementary_links,supplementary_content_found,harvest_cycle,harvest_run
10.3390/ma15072537,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022,Materials,https://openalex.org/W4220927540,https://doi.org/10.3390/ma15072537,https://doi.org/10.3390/ma15072537,gold,https://europepmc.org/articles/PMC9000066,True,20,ready_for_review,"[""n microscopy (SEM), and X-ray photoelectron spectroscopy (XPS). The findings indicated that flame-retardant textiles had an excellent launderability (limiting oxygen index = 31% after 20 washing cycles). Meanwhile, Ag NPs-loaded flame-retardant textiles demonstrated self-extinguishing properties, with a limiting oxygen index"", ""ing oxygen index = 31% after 20 washing cycles). Meanwhile, Ag NPs-loaded flame-retardant textiles demonstrated self-extinguishing properties, with a limiting oxygen index (LOI) of 27%. Bacteriostatic widths of flame-retardant antibacterial textiles against Escherichia coli and Staphylococcus aureus were 5.28 and 4.32 mm, respective"", ""to carry out flame retardant finishing on silk fabrics. When 20 layers are assembled, the limiting oxygen index is 30. After 20 times of washing, the limiting oxygen index of silk fabric is still about 27%, which can be extinguished by itself in case of fire. At the same time, Tang’s research group also successfully applied phytic acid to polylactic aci"", ""-NH 2 , which is involved in oxidation, rises to 399.7 eV as a result [ 37 , 38 ]. 3.5. LOI Analysis Cotton textiles are extremely flammable, with an LOI of 18%. The LOI of finished fabrics is shown in Table 1 . Following the application of PEI/PA finishing, an expansion system comprised of PEI, PA, and cellu"", ""ystem comprised of PEI, PA, and cellulose was created, resulting in better flame-retardant qualities of the fabric. Even after 20 washing cycles, the LOI of the cloth climbed to 37%, and self-extinguishing was observed (LOI = 31%). Ag NPs were decreased in situ using PA as the soft film plate based on flame-retardant textiles. Th""]","[""ble 3 TG parameters of flame-retardant fabric at different heating rates. Fabrics Parameters Heating Rates (°C/min) 5 10 15 20 O-C Ti 234 258 258 258 Tmax 320 329 334 340 Ta 0 340 350 350 350 CR (%) 2.19 4.26 3.37 3.01 PP-C Ti 190 190 190 190 Tmax 258 265 269 273 Ta 270 274 278 280 CR (%) 14.22 21.36 23.94 26.84 PPA-C Ti 220 220 220 220 Tmax"", ""Heating Rates (°C/min) 5 10 15 20 O-C Ti 234 258 258 258 Tmax 320 329 334 340 Ta 0 340 350 350 350 CR (%) 2.19 4.26 3.37 3.01 PP-C Ti 190 190 190 190 Tmax 258 265 269 273 Ta 270 274 278 280 CR (%) 14.22 21.36 23.94 26.84 PPA-C Ti 220 220 220 220 Tmax 286 291 294 297 Ta 1 299 306 306 306 CR (%) 13.42 18.66 20.49 18.79"", ""50 CR (%) 2.19 4.26 3.37 3.01 PP-C Ti 190 190 190 190 Tmax 258 265 269 273 Ta 270 274 278 280 CR (%) 14.22 21.36 23.94 26.84 PPA-C Ti 220 220 220 220 Tmax 286 291 294 297 Ta 1 299 306 306 306 CR (%) 13.42 18.66 20.49 18.79""]",[],"Fabrics were flame-retardant finished using phytic acid, a cost-effective, ecologically acceptable, and easily available flame-retardant finishing chemical. Then, on the surface of the completed fabric, silver nanoparticles (Ag NPs) were grown in situ to minimize Ag NPs aggregation and heterogeneous post-finishing and to increase washing durability. Thus, flame-retardant and antibacterial qualities were added to textiles. The as-prepared textiles were evaluated for their combustion performance, thermal performance, and antibacterial capabilities. At the same time, their microstructures were studied using X-ray diffractometry (XRD), scanning electron microscopy (SEM), and X-ray photoelectron spectroscopy (XPS). The findings indicated that flame-retardant textiles had an excellent launderabi",,,,
10.3390/ma13235492,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020,Materials,https://openalex.org/W3107835998,https://doi.org/10.3390/ma13235492,https://doi.org/10.3390/ma13235492,gold,https://europepmc.org/articles/PMC7730485,True,20,ready_for_review,"[""flame retardancy saving the energy by skipping drying at 80 °C after each immersing/padding step. Additionally, this 10 BL nanocoating increases the LOI of cotton from 18 to 28%. Accomplishing such effective fire protection using only environmentally-benign chemistries and relatively few processing steps makes this a very sca"", ""raction in an O 2 /N 2 mixture that supports combustion, as well as the time required to complete combustion, was measured for these treated samples. LOI for untreated cotton is between 18% and 19%, depending on the type of fabrics, construction, weight, moisture, ambient temperature, etc. For cotton treated with commercial durable flame"", ""ng on the type of fabrics, construction, weight, moisture, ambient temperature, etc. For cotton treated with commercial durable flame retardants, the LOI is usually within the range of 28–29% [ 29 ]. Here, LOI increases with the number of CH-urea/PA bilayers deposited. Cotton treated with 8 BL has an LOI of 26%, which increases to 31% with"", ""I is usually within the range of 28–29% [ 29 ]. Here, LOI increases with the number of CH-urea/PA bilayers deposited. Cotton treated with 8 BL has an LOI of 26%, which increases to 31% with 15 BL. Cotton treated with 10, 12 and 15 BL satisfy commercial requirements, with the values of 28% or above. Burning ti""]","[""ted cotton. Decomposition temperatures peaks (T 1max ) measured by thermogravimetric analyzer (TG) decreased by approximately 62 °C, while an average residue at 650 °C is ~21% for 10 and more bilayers. Images of post-burn char indicate that PA/CH-urea treatment is intumescent. The ability to deposit such a safe and effectiv"", ""eated samples is around 80 %. At 800 °C the oxidation of all organic compounds occurs. At 650 °C, the 8 BL coated cotton has a char of ~7%, while the char yield of 10, 12 and 15 BL is ~14%. Figure 5 shows SEM micrographs of untreated and LbL-treated cotton fabric. Untreated cotton fabric’s smooth surface ( Figure 5 a) contrasts with the"", ""e average reduction of pHRR of all treated fabrics is 61% and the reduction of THR, in comparison to untreated cotton, is 74%. TGA reveals an average residue at 650 °C of ~14% for 10, 12 and 15 BL, confirming the intumescent effectiveness of the treated cotton. SEM images of post-burn char show characteristic intumescent bu""]",[],"Chemically bleached cotton fabric was treated with phytic acid (PA), chitosan (CH) and urea by means of layer-by-layer (LbL) deposition to impart flame retardant (FR) behavior using only benign and renewable molecules. Samples were treated with 8, 10, 12 and 15 bilayers (BL) of anionic PA and cationic CH, with urea mixed into the aqueous CH solution. Flammability was evaluated by measuring limiting oxygen index (LOI) and through vertical flame testing. LOI values are comparable to those obtained with commercial flame-retardant finishes, and applying 10 or more bilayers renders cotton self-extinguishing and able to pass the vertical flame test. Microscale combustion calorimeter (MCC) measurements show the average reduction of peak heat release rate (pHRR) of all treated fabrics of ~61% and ",,,,
10.3390/polym8080288,Flame Retardant Polyamide Fibres: The Challenge of Minimising Flame Retardant Additive Contents with Added Nanoclays,2016,Polymers,https://openalex.org/W2493143561,https://doi.org/10.3390/polym8080288,https://doi.org/10.3390/polym8080288,gold,https://europepmc.org/articles/PMC6431929,True,20,ready_for_review,"[""o promote significant improvements in the flame retardancy of PA6, primarily functioning in the condensed phase [ 10 , 11 ]. Bulk PA6 samples yielded limiting oxygen index (LOI) values > 32 vol % and UL-94 test V-0 ratings, although reductions in both these were observed in the presence of an additional functionalised, montmorillonite clay. We"", ""ng drips from leaving the flame zone [ 4 ]. The presence of 10 wt % AlPi alone increases the value considerably, which on further addition of 2 wt % Cloisite 25A raises the LOI to 29.0 vol %. In our earlier work on PA6/AlPi/25A formulations where LOI values of extruded strands of about 1.2 mm diameter were determined, a similar decrease i"", ""In our earlier work on PA6/AlPi/25A formulations where LOI values of extruded strands of about 1.2 mm diameter were determined, a similar decrease in LOI value to 18.8 vol % was observed following the addition of 2 wt % Cloisite 25A; and with the addition of 5 wt %AlPi, the LOI increased only to 21.1 vol %. However, it is"", ""d, a similar decrease in LOI value to 18.8 vol % was observed following the addition of 2 wt % Cloisite 25A; and with the addition of 5 wt %AlPi, the LOI increased only to 21.1 vol %. However, it is well known that flame retardant properties are not linearly related to flame retardant content and the recommended concentration of A"", ""stency between the UL94 results ( Table 5 ). The LOI results for the second set of formulations shows that the addition of 2.5%AS and 1%DP raises the LOI to 27.7 vol % and addition of clay reduces this slightly to 24.9 vol %. This reduction of 2.8 vol % corroborates the previous observations of Lewin et al. [ 10 , 1""]","[""ould be associated with an acceptable level of flame retardancy in a standard vertical strip test. Close inspection of Figure 1 c of the extinguished residue of the PA6/AlPi(10%) fabric suggests some small level of char formation which is corroborated by the TGA evidenced in Table 7 below. However, similar char formation is n"", ""is not clear from the burning strip images in Figure 2 . However, the TGA data under air conditions shown below in Table 7 gives an almost zero mass residue at 600 °C for the PA6/AS(2.5%)/DP(1%) sample. This may be compared with a residue of 2.0% for the PA6/AS(2.5%)/DP(1%)/25A(2%) sample, which if the clay content is taken into accou"", ""der air conditions shown below in Table 7 gives an almost zero mass residue at 600 °C for the PA6/AS(2.5%)/DP(1%) sample. This may be compared with a residue of 2.0% for the PA6/AS(2.5%)/DP(1%)/25A(2%) sample, which if the clay content is taken into account, represents a negligible, additional carbonaceous content"", ""ences in residue levels at 600 °C between respective samples heated under nitrogen and air, where little or no char should be expected to be present. Residues of samples containing only 2% 25A under both nitrogen and air reflect this initial content less the organofunctionalising species initially present. Under nitrogen, the increase i"", ""e PA6 control will partly reflect the non-volatile aluminium content of the original phosphinate, most likely aluminium phosphate [ 9 ]. However, the residue value for the PA6/AlPi(10%)/25A(2%) sample at 600 °C, appears to be slightly less than the sum of the residue values of the PA6/25A(2%) and PA6/AlPi(10%) samples, although the""]",[],"This work shows that halogen-free, flame retarded polyamide 6 (PA6), fabrics may be produced in which component fibres still have acceptable tensile properties and low levels (preferably ≤10 wt %) of additives by incorporating a nanoclay along with two types of flame retardant formulations. The latter include (i) aluminium diethyl phosphinate (AlPi) at 10 wt %, known to work principally in the vapour phase and (ii) ammonium sulphamate (AS)/dipentaerythritol (DP) system present at 2.5 and 1 wt % respectively, believed to be condense phase active. The nanoclay chosen is an organically modified montmorillonite clay, Cloisite 25A. The effect of each additive system is analysed in terms of its ability to maximise both filament tensile properties relative to 100% PA6 and flame retardant behaviou",,,,
10.1016/j.heliyon.2023.e13127,Flammability and comfort properties of blended knit fabrics made from inherently fire-resistant fibers to use for fire fighters,2023,Heliyon,https://openalex.org/W4317666226,https://doi.org/10.1016/j.heliyon.2023.e13127,https://doi.org/10.1016/j.heliyon.2023.e13127,gold,https://europepmc.org/articles/PMC9898679,True,18,ready_for_review,"[""12 demands maximum 10 cm char length is acceptable. 15 cm char length is universally accepted. 5.2.1 Limiting oxygen index Generally, textiles having LOI values greater than oxygen level (21%) tend to be considered flame retardant fibers. Higher LOI value give the indication how harder for the material to catch fire . LOI tests were perfor"", ""to investigate the combined effect of both fibers to increase/decrease flame retardancy. Table 3 Limiting oxygen index. Table 3 Sample ID Composition LOI S1 Nomex 100% 31.3 S2 FR-Polyester 100% 22.5 S3 Protex 100% 22.4 S4 FR-Viscose 100% 17.4 S5 Carbon 100% 28.0 S6 FR-Polyester 50%/FR-Viscose 50% 20.9 S7 Nomex 50%/F""]","["". 2 The results suggest that sample S2 containing 100% FR-polyester fibers showed very good thermal stability as minimum mass degradation and highest residual mass (84.12%) was obtained at temperature of 600 °C. Sample S5 consisting of 100% carbon fibers showed residual mass of 64.52%. Sample S4 containing 100% FR-visco"", ""minimum mass degradation and highest residual mass (84.12%) was obtained at temperature of 600 °C. Sample S5 consisting of 100% carbon fibers showed residual mass of 64.52%. Sample S4 containing 100% FR-viscose showed minimum thermal stability as it was observed that maximum mass was decomposed and only 19.79% was residu"", ""ty as it was observed that maximum mass was decomposed and only 19.79% was residual mass at 600 °C. TGA results also showed that very small amount of residual mass (20.79%) was observed in sample S10 containing 50% FR-polyester and 50% Protex fibers. For the sample S1 containing 100% Nomex, only 2% of mass change occurr""]",[],"Achievement of better comfort properties in station suits of fire fighters without compromising flame retardancy is an utmost necessity. Inherently fire-resistant fibers play vital role in this scope. In this work twenty-three plain single jersey knitted fabric samples were developed by using five inherently fire-resistant fibers. The fibers used were meta-aramid Nomex, fire resistant (FR-Viscose, modacrylic (Protex), FR-polyester (Recron) and carbon fibers. All the fibers were blended in different blend ratios. Vertical flammability test was performed to investigate the flammability properties. Thermal characterization of the samples was done using thermogravimetric analysis (TGA). Thermophysiological and wearing comfort properties of all samples were evaluated. Scanning electron microsco",,,,
10.3390/polym16101409,Facile Fabrication of Highly Efficient Chitosan-Based Multifunctional Coating for Cotton Fabrics with Excellent Flame-Retardant and Antibacterial Properties,2024,Polymers,https://openalex.org/W4396966835,https://doi.org/10.3390/polym16101409,https://doi.org/10.3390/polym16101409,gold,https://europepmc.org/articles/PMC11125217,True,18,ready_for_review,"[""d it imparted a uniform protective layer onto the surfaces of the cotton fabrics. When the load capacity reached 11.5%, the coated fabrics achieved a limiting oxygen index of 29.7% and successfully passed the VFT test. Moreover, the ATMP-CS coating demonstrated antibacterial rates against Escherichia coli and Staphylococcus aure"", ""othing material but also finds utility in various daily necessities, thus playing a crucial role in the textile industry. However, cotton fiber has a limiting oxygen index (LOI) of only 18.0%, making it highly susceptible to ignition [ 4 , 5 ]. Once ignited, cotton fabrics quickly spread flames and pose a significant fire hazard. Statistic"", ""on the surface of cotton fabric which exhibited remarkable synergistic flame retardancy. With a loading level of 25.2%, the cotton fabric achieved a limiting oxygen index (LOI) value of 26.0%. Li et al. [ 11 ] synthesized a N-methylene phosphonic chitosan derivative through the Mannich reaction and applied it to enhance the flame retardanc"", ""osphonic chitosan derivative through the Mannich reaction and applied it to enhance the flame retardancy of cotton fabrics. With a load of 14.2%, the LOI value reached 28.0%, and the material successfully passed the vertical flame test (VFT). Despite its remarkable effectiveness, the LBL method necessitates multiple cycle"", ""behavior, combustion behavior, mechanical properties, antibacterial properties, and flame-retardant mechanism of these fabrics. The fabric achieved a limiting oxygen index of 29.7% and successfully passed the VFT test when its load capacity reached 11.5%. Meanwhile, the antibacterial rates of the ATMP-CS coating against Escheric""]","[""nced a further decline to reach 249.7 °C, 290.1 °C, and 0.65%/°C, respectively. Conversely, an increase in load resulted in a significant increase in residual mass, ranging from 6.8 wt.% for cotton to 30.2 wt.% for the ATMP-CS@C5.5 fabric and 34.1 wt.% for the ATMP-CS@C11.5 fabric. Although phosphite played a catalytic role in the ini"", ""st entirely consumed, with only minimal residue remaining; however, the ATMP-CS@Cx fabrics maintain their “approximate shape” remarkably well, with a residual mass of up to 77.2%. The aforementioned test results demonstrate that the application of the ATMP-CS coating can significantly enhance the flame retardancy of cotton fab""]",[],"Interest in the development of eco-friendly, sustainable, and convenient bio-based coatings to enhance flame retardancy and antibacterial properties in cotton fabrics is growing. In this work, chitosan was protonated at its amino groups using a method with a high atom economy using an equimolar amount of amino trimethylene phosphonic acid (ATMP), resulting in the fabrication of a single-component chitosan-based multifunctional coating (ATMP-CS), thereby avoiding any additional neutralization or purification steps. Cotton fabrics coated with various loads of ATMP-CS were prepared through a padding–drying–curing process. The morphology, thermal stability, mechanical properties, antibacterial properties, flame-retardant behavior, and flame-retardant mechanism of these fabrics were investigate",,,,
10.3390/polym17111531,"Green Fabrication of Phosphorus-Containing Chitosan Derivatives via One-Step Protonation for Multifunctional Flame-Retardant, Anti-Dripping, and Antibacterial Coatings on Polyester Fabrics",2025,Polymers,https://openalex.org/W4410971177,https://doi.org/10.3390/polym17111531,https://doi.org/10.3390/polym17111531,gold,https://europepmc.org/articles/PMC12158184,True,18,ready_for_review,"[""of 76.8% and 40.2% under nitrogen and air atmospheres, respectively, significantly surpassing those of acetic acid-protonated chitosan (CS-HAc). The limiting oxygen index (LOI) of CS-PPOA increased to 48.3%, and vertical burning tests demonstrated rapid self-extinguishing behavior. When applied to PET fabrics at a 15% loading, the LOI value improved from"", ""PPOA increased to 48.3%, and vertical burning tests demonstrated rapid self-extinguishing behavior. When applied to PET fabrics at a 15% loading, the LOI value improved from 20.3% (untreated fabric) to 27.8%, forming a dense char layer during combustion while completely suppressing melt dripping. Additionally, the coated fabric"", ""of CS-PPOA and CS-HAc were fabricated via solution casting for comparative LOI and vertical burning tests. The results are shown in Figure 4 c,d. The LOI value of traditional CS-HAc samples reached 32.6%, demonstrating inherent flame-retardant properties. Remarkably, PPOA-protonated CS-PPOA achieved a substantially increased LOI of 48.3%. This improve"", ""-HAc samples reached 32.6%, demonstrating inherent flame-retardant properties. Remarkably, PPOA-protonated CS-PPOA achieved a substantially increased LOI of 48.3%. This improvement is primarily attributed to the optimization of thermal stability and enhanced charring efficiency through PPOA modification, facili"", ""ation enhances the thermal stability and char-forming efficiency of chitosan, achieving a char residue yield of 76.8% at 700 °C under nitrogen and an LOI value of 48.3%. Applied to PET fabrics, CS-PPOA formed a protective char layer during combustion, boosting the fabric’s LOI to 27.8%, enabling self-extinguishing be""]","[""ng ability, producing films with over 80% optical transmittance and flexibility. Thermogravimetric analysis (TGA) revealed that CS-PPOA achieved char residue yields of 76.8% and 40.2% under nitrogen and air atmospheres, respectively, significantly surpassing those of acetic acid-protonated chitosan (CS-HAc). The limiting"", ""ent and avoids complex purification steps. PPOA modification enhances the thermal stability and char-forming efficiency of chitosan, achieving a char residue yield of 76.8% at 700 °C under nitrogen and an LOI value of 48.3%. Applied to PET fabrics, CS-PPOA formed a protective char layer during combustion, boosting the fa""]",[],"With the increasing urgency of petroleum resource scarcity and environmental challenges, the development of degradable bio-based flame retardants has become crucial for enhancing the fire safety of organic materials. In this work, a phosphorus-containing chitosan derivative (CS-PPOA) was synthesized via a one-step protonation reaction between chitosan (CS) and phenylphosphinic acid (PPOA) under mild conditions. The resulting multifunctional flame-retardant coating was applied to polyester (PET) fabrics. Comprehensive characterization using FT-IR, XPS, and NMR confirmed the successful protonation of chitosan amino groups through electrostatic interactions, forming a stable ionic complex. The CS-PPOA solution exhibited excellent rheological properties and film-forming ability, producing film",,,,
10.3390/ma17164028,Modified Epoxy Resin on the Burning Behavior and Mechanical Properties of Aramid Fiber Composite,2024,Materials,https://openalex.org/W4401549294,https://doi.org/10.3390/ma17164028,https://doi.org/10.3390/ma17164028,gold,https://europepmc.org/articles/PMC11356078,True,18,ready_for_review,"[""fier (EAD) was incorporated into the AF/EP system to improve the flame retardation. The addition of 5 wt% EAD made the AF/EP composite exhibit a high limiting oxygen index (LOI) value of 37.5%, self-extinguishment, as well as decreased total heat release and total smoke release. The results from thermogravimetric analysis (TGA) and dynamic"", ""PM-1) was used as a curing agent for epoxy, and the wick effect of the corresponding carbon fiber-reinforced composite was inhibited, resulting in an LOI value of 42.5% and V-0 classification in UL-94 test [ 13 ]. Other phosphorus-containing flame retardants were also added into epoxy resin to fabricate carbon fiber-"", ""effect of EAD on the burning behavior of the AF/EP composite. The corresponding results are listed in Table S1 . The reference sample AF/EP showed an LOI value of 31.5% and burned out during the UL-94 test. After introducing EAD into the system, the LOI value increased with the content of flame retardant, reflecting"", ""6 °C, respectively. Due to the combination of a physical barrier, quenching effect, and dilution behavior, the sample with 5 wt% EAD achieved a high LOI value of 37.5% and a self-extinguishment with afterflame time of 36 s. On the contrary, the untreated AF/EP composite had an LOI value of 31.5% and burned out with"", ""EAD achieved a high LOI value of 37.5% and a self-extinguishment with afterflame time of 36 s. On the contrary, the untreated AF/EP composite had an LOI value of 31.5% and burned out with severe combustion behavior. The introduction of EAD also enhanced the mechanical properties of the AF/EP composite, yielding incr""]","[""r before 500 °C. Only one degradation peak appeared at 560 °C, caused by the random breakage and decomposition of the molecular chain, along with the residue of 39.8% at 700 °C. Meanwhile, the maximum degradation rate of epoxy resin was detected at 377 °C, derived from the pyrolysis of its benzene ring structure, N"", ""ture (T 5wt %) and residue were also affected by the incorporation of EAD. Especially for sample AF/EP/5%EAD, the T 5wt % decreased at 359 °C and the residue at 700 °C rose up to 39.7%. This is because of the premature decomposition of EAD to promote the carbonization of the matrix, and the charring formation can protect inner mater""]",[],"Aramid fiber/epoxy resin (AF/EP) composite has been heavily used as an impact protection material due to its excellent mechanical properties and lightweight merits. Meanwhile, it is also necessary to concern the flammability of matrix resin and the wick effect of aramid fiber, which would constitute a fire risk in harsh environments. In this work, a multifunctional flame-retardant modifier (EAD) was incorporated into the AF/EP system to improve the flame retardation. The addition of 5 wt% EAD made the AF/EP composite exhibit a high limiting oxygen index (LOI) value of 37.5%, self-extinguishment, as well as decreased total heat release and total smoke release. The results from thermogravimetric analysis (TGA) and dynamic mechanical analysis (DMA) demonstrated that the treated composites mai",,,,
10.3390/polym15051183,Flame Retardancy and Mechanical Properties of Melt-Spun PA66 Fibers Prepared by End-Group Blocking Technology,2023,Polymers,https://openalex.org/W4322503271,https://doi.org/10.3390/polym15051183,https://doi.org/10.3390/polym15051183,gold,https://europepmc.org/articles/PMC10007604,True,18,ready_for_review,"[""mation of a continuous and compact char layer and the reduced production of combustible gas. The combustion results of the composites showed that the limiting oxygen index (LOI) increased from 23.5% to 29.4%, and underwriter laboratories 94 (UL-94) passed the V-0 grade. The peak of heat release rate (PHRR), total heat release (THR), and total smo"", ""y. The prepared fibers still had good mechanical properties (tensile strength: 5.7 ± 0.2 cN/dtex), while maintaining good flame-retardant properties (LOI: 28.6%). This study provides an outstanding industrial production strategy for fabricating flame-retardant PA66 plastics and fibers. Keywords: PA66, Di−PE,"", ""e of the PA66/Di−PE composite with a relatively low loading of 2 wt% could reach 28.80%, but the UL-94 rating was still V-2. Interestingly, a maximum LOI value of 29.4% and a UL-94 V-0 rating could be reached by further increasing the Di−PE content to 6 wt%. Moreover, the color of the char layer, which was formed in"", ""ly improve the flame-retardant properties of PA66 through the end-group blocking effect. The PA66/6 wt% Di−PE composite achieved the most outstanding LOI value of 29.4% and passed the V-0 rating of UL-94. The CCT results of PA66/6 wt% Di−PE showed that the PHRR and THR were reduced by 47.3% and 47.8%, respectively, c""]","[""ht loss and is indispensable to evaluate the thermal decomposition behavior of a polymer in the initial stage. The pure PA66 presented almost no char residue above 600 °C, and the T 5% and T max (the temperature at the maximum weight loss rate) were about 396.3 °C and 477.7 °C, respectively. Figure 1 TG ( a ) and DTG ( b ) curves fo"", ""i−PE 352.7 467.0 3.60 1.31 It is obvious that in the presence of Di−PE, both the T 5% and the T max of the PA66/Di−PE composites decreased, while the char yields of the PA66/4 wt% Di−PE and PA66/6 wt% Di−PE composites at 600 °C or 700 °C were much higher than that of pure PA66. In order to more intuitively verify that Di−PE pro""]",[],"Preparing flame-retardant polyamide 66 (PA66) fibers through melt spinning remains one of the biggest challenges nowadays. In this work, dipentaerythritol (Di-PE), an eco-friendly flame retardant, was blended into PA66 to prepare PA66/Di-PE composites and fibers. It was confirmed that Di-PE could significantly improve the flame-retardant properties of PA66 by blocking the terminal carboxyl groups, which was conducive to the formation of a continuous and compact char layer and the reduced production of combustible gas. The combustion results of the composites showed that the limiting oxygen index (LOI) increased from 23.5% to 29.4%, and underwriter laboratories 94 (UL-94) passed the V-0 grade. The peak of heat release rate (PHRR), total heat release (THR), and total smoke production (TSP) d",[],False,1,4
10.3390/molecules24203749,Fabrication of Chitosan-Based Intumescent Flame Retardant Coating for Improving Flame Retardancy of Polyacrylonitrile Fabric,2019,Molecules,https://openalex.org/W2980825739,https://doi.org/10.3390/molecules24203749,https://doi.org/10.3390/molecules24203749,gold,https://europepmc.org/articles/PMC6833438,True,16,ready_for_review,"[""crylate (HEMA) was grafted onto the surface of PAN fabric, followed by phosphorylation to successfully obtain the flame-retardant PAN fabric with the LOI value of 32% [ 8 ]. Furthermore, glycidyl methacrylate (GMA) was UV-grafted onto the surface of PAN fabric, followed by ammoniation and phosphorylation [ 9 ]. The""]","[""st indicates that the FR-PAN fabric has an excellent flame-retardant property and the combustion rate is significantly reduced. In addition, the char residue of the burned FR-PAN fabric is over 97%, indicating excellent char-forming ability. Keywords: polyacrylonitrile fabric, photo-grafting polymerization, chitosan, glycidyl methacrylate, flame"", ""d modified PAN fabrics. For the PAN-g-GMA, the TG curve has two weight loss steps, the first weight loss step lies between 229 °C and 349 °C, and the peak temperature is about 297 °C. The initial decomposition temperature is lower than that of the origin fabric, which may be due to the earlier degradation of the grafted GMA chain."", ""on occurred during the test progress, as shown in Figure 4 . For the blank fabric, the initial exothermic peak starts from 275 °C, and the exothermic peak temperature locates at 306 °C, which is coincided with the TG analysis. This is due to the cyclization reactions initiated by a free radical mechanism [ 21 ]. For the PAN-g-GMA sa""]",[],"In order to improve the flame retardancy of polyacrylonitrile (PAN) fabrics, glycidyl methacrylate (GMA) was first grafted onto the surface of PAN fabric (PAN-g-GMA) by means of UV-induced photo grafting polymerization process. Then, PAN-g-GMA was chemically grafted with chitosan to obtain a bigrafted PAN fabric (PAN-g-GMA-g-CS). Finally, the flame-retardant PAN fabric (FR-PAN) was prepared by phosphorylation. The structure and elemental analysis of the samples were characterized by Fourier transform infrared spectroscopy (FTIR) and X-ray photoelectron spectroscopy (XPS). The thermal degradation properties and combustion characteristics of the fabrics were accessed by thermogravimetric analysis (TG), differential scanning calorimetry (DSC), and cone calorimeter (CC). The results show that ",,,,
10.3390/polym12051078,Poly (vinyl alcohol)/β-Cyclodextrin Composite Fiber with Good Flame Retardant and Super-Smoke Suppression Properties,2020,Polymers,https://openalex.org/W3022751983,https://doi.org/10.3390/polym12051078,https://doi.org/10.3390/polym12051078,gold,https://europepmc.org/articles/PMC7284589,True,16,ready_for_review,"[""CD/HDI fibers showed mechanical strength at the same level as natural cotton fiber. The PVA/CD/HDI fibers also showed excellent flame retardance (the LOI value of PVA/CD/HDI could reach 41.7%, and their peak of heat release (PHRR) could be reduced by up to 77.7% by neat PVA), and super-smoke suppression (the value of total smoke production"", ""Xu et al. [ 34 ] prepared melamine formaldehyde/PVA composite fiber via phase separation. This method demonstrates great flame-retardant properties (LOI > 42%). However, the nitrogen loss of the fibers indicates a potential durability problem. For permanent purposes, Jiang et al. [ 35 ] introduced melamine"", ""(MF) to the surface of formalized PVA fiber using the grafting method. However, only a high grafting degree (>30%) results in flame-resistant fiber (LOI > 27%). Moreover, the content of MF resins leads to a sharp decrease in the mechanical properties of the fibers, indicating poor compatibility with the fib"", ""ce of the fibers, and the results are shown in Table 2 . It can be seen that the addition of βCD improves the flame retardance of the fibers, but the LOI value of PVA/CD is still below 27.0% and the fiber still could be ignited even when the amount of βCD was equal to PVA, suggesting that the FR efficiency of the single component of βCD w"", ""onent of βCD was not enough. In this work, the combination of βCD and crosslinker HDI increases the FR efficiency significantly. It is shown that the LOI value of PVA/75CD/HDI reaches 41.7%, which is much higher than the single component flame-retardant PVA composite fibers (PVA/75CD and PVA/HDI) and meets the requirement of non-combusti""]","[""little higher than that of the uncrosslinked samples (PVA, PVA/75CD). At around 550 °C under air atmosphere, PVA/75CD and PVA/75CD/HDI showed higher residue weight percentages (W 550 °C , 5.5% and 6.4%, Table S2 ) than the control PVA fiber (0.9%). These results indicate that the thermal stability of fiber is improved by the introduction of""]",[],"Fibers with good flame retardant (FR) and smoke suppression performances are highly desirable for the purpose of eliminating fire hazard. This study developed a novel FR fiber by wet-spinning poly (vinyl alcohol)/β-cyclodextrin (PVA/βCD) composite fiber and crosslinking it with hexamethylene diisocyanate (HDI). βCDs showed good compatibility with PVA matrix, and the resulting PVA/CD/HDI fibers showed mechanical strength at the same level as natural cotton fiber. The PVA/CD/HDI fibers also showed excellent flame retardance (the LOI value of PVA/CD/HDI could reach 41.7%, and their peak of heat release (PHRR) could be reduced by up to 77.7% by neat PVA), and super-smoke suppression (the value of total smoke production (TSP) was only 28.6% compared to PVA). These dramatic reductions of fire ha",,,,
