DOI,title,year,journal,grade,reason,source_url,candidate_fingerprint,extracted_at_utc,sample_state,sample_norm,LOI_pct,LOI_uncertainty_pct,atmosphere,heating_rate_C_min,R650_pct,source_location,evidence,direct_numeric_use,pair_key,T1_C,Tmax1_C,R800_pct,R600_pct,T5_C,Tonset_C,Tmax2_C,T10_C,T20_C,T50_C
10.3390/ma15072537,In Situ Synthesis of Silver Nanoparticles on Flame-Retardant Cotton Textiles Treated with Biological Phytic Acid and Antibacterial Activity,2022,Materials,C,No structured open-full-text tables could be parsed.,https://europepmc.org/articles/PMC9000066,9f136aedfb947b8fea15,2026-09-24T01:47:51.893206+00:00,,,,,,,,,,,,,,,,,,,,,
10.3390/ma13235492,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020,Materials,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC7730485,111da265bddc6dc08442,2026-09-24T01:47:53.167177+00:00,Control,control,18.0,,,,1.17,LOI table: Table 1 Weight gain and limiting oxygen index data.; TG table: Table 4 Summary of thermogravimetric analysis of treated and untreated cotton.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/ma13235492||Control||||,,,,,,,,,,
10.3390/ma13235492,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020,Materials,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC7730485,111da265bddc6dc08442,2026-09-24T01:47:53.167199+00:00,8,8,26.0,,,,6.96,LOI table: Table 1 Weight gain and limiting oxygen index data.; TG table: Table 4 Summary of thermogravimetric analysis of treated and untreated cotton.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/ma13235492||8||||,,,,,,,,,,
10.3390/ma13235492,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020,Materials,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC7730485,111da265bddc6dc08442,2026-09-24T01:47:53.167210+00:00,10,10,28.0,,,,14.63,LOI table: Table 1 Weight gain and limiting oxygen index data.; TG table: Table 4 Summary of thermogravimetric analysis of treated and untreated cotton.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/ma13235492||10||||,,,,,,,,,,
10.3390/ma13235492,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020,Materials,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC7730485,111da265bddc6dc08442,2026-09-24T01:47:53.167229+00:00,12,12,29.0,,,,13.82,LOI table: Table 1 Weight gain and limiting oxygen index data.; TG table: Table 4 Summary of thermogravimetric analysis of treated and untreated cotton.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/ma13235492||12||||,,,,,,,,,,
10.3390/ma13235492,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020,Materials,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC7730485,111da265bddc6dc08442,2026-09-24T01:47:53.167240+00:00,15,15,31.0,,,,13.8,LOI table: Table 1 Weight gain and limiting oxygen index data.; TG table: Table 4 Summary of thermogravimetric analysis of treated and untreated cotton.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/ma13235492||15||||,,,,,,,,,,
10.3390/polym8080288,Flame Retardant Polyamide Fibres: The Challenge of Minimising Flame Retardant Additive Contents with Added Nanoclays,2016,Polymers,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC6431929,e43849417e58c4fa62b0,2026-09-24T01:47:54.545328+00:00,PA6a,pa6a,22.3,,,10.0,,LOI table: Table 4 Limiting oxygen index values of PA6 plaques containing AlPi or AS/DP and/or Cloisite 25A.; TG table: Table 5 Flame spread and dripping rates (DR) from UL94 results for PA6 plaque samples.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/polym8080288||PA6a||||10,56.0,,,,,,,,,
10.3390/polym8080288,Flame Retardant Polyamide Fibres: The Challenge of Minimising Flame Retardant Additive Contents with Added Nanoclays,2016,Polymers,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC6431929,e43849417e58c4fa62b0,2026-09-24T01:47:54.545352+00:00,PA6/AlPi(10%)/25A(2%),pa6/alpi(10%)/25a(2%),29.0,,,10.0,,LOI table: Table 4 Limiting oxygen index values of PA6 plaques containing AlPi or AS/DP and/or Cloisite 25A.; TG table: Table 5 Flame spread and dripping rates (DR) from UL94 results for PA6 plaque samples.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/polym8080288||PA6/AlPi(10%)/25A(2%)||||10,49.0,,,,,,,,,
10.3390/polym17111531,"Green Fabrication of Phosphorus-Containing Chitosan Derivatives via One-Step Protonation for Multifunctional Flame-Retardant, Anti-Dripping, and Antibacterial Coatings on Polyester Fabrics",2025,Polymers,C,No structured open-full-text tables could be parsed.,https://europepmc.org/articles/PMC12158184,a9a7e1d888b21ddc0f4f,2026-09-24T01:47:57.700221+00:00,,,,,,,,,,,,,,,,,,,,,
10.3390/molecules24101947,Preparation of Ion-Exchanged TEMPO-Oxidized Celluloses as Flame Retardant Products,2019,Molecules,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC6571781,72cbf5fd7965bafc0c6c,2026-09-24T01:48:17.473716+00:00,Cellulose,cellulose,19.0,,,10.0,,LOI table: Table 3 The result of LOI of cellulose and TOC.; TG table: Table 2 Microscale combustion calorimetry (MCC) data of cellulose and TOC.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/molecules24101947||Cellulose||||10,,,,8.57,,,,,,
